,CustomerID,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore
86,14434.0,21,6,1372.8,A,A,A,AAA
87,13599.0,1,33,5030.6,A,A,A,AAA
88,13001.0,4,15,9797.92,A,A,A,AAA
89,12668.0,7,6,3743.18,A,A,A,AAA
90,17924.0,1,13,2894.33,A,A,A,AAA
91,12948.0,16,8,2053.7,A,A,A,AAA
92,12957.0,4,12,3979.04,A,A,A,AAA
93,17422.0,16,10,1853.13,A,A,A,AAA
94,14560.0,7,24,2174.18,A,A,A,AAA
95,17725.0,16,14,3371.13,A,A,A,AAA
96,15061.0,3,55,54228.74,A,A,A,AAA
97,16626.0,0,20,4379.65,A,A,A,AAA
98,16103.0,7,6,1429.64,A,A,A,AAA
99,13882.0,2,6,1131.28,A,A,A,AAA
100,15906.0,19,8,1521.79,A,A,A,AAA
101,14217.0,1,24,1925.36,A,A,A,AAA
102,15676.0,9,5,3324.09,A,A,A,AAA
103,14502.0,19,14,2351.02,A,A,A,AAA
104,15270.0,15,9,2298.2,A,A,A,AAA
105,13268.0,17,15,3167.64,A,A,A,AAA
106,18283.0,3,16,2094.88,A,A,A,AAA
107,14859.0,12,5,1352.04,A,A,A,AAA
108,16899.0,7,6,1281.56,A,A,A,AAA
109,13782.0,12,6,912.0,A,A,A,AAA
110,13742.0,16,14,3102.42,A,A,A,AAA
111,17937.0,8,7,4301.22,A,A,A,AAA
112,14102.0,5,8,1314.73,A,A,A,AAA
113,16989.0,7,6,1133.25,A,A,A,AAA
114,15987.0,12,7,1451.28,A,A,A,AAA
115,17365.0,12,8,4801.56,A,A,A,AAA
116,14292.0,7,14,4819.33,A,A,A,AAA
117,14525.0,8,13,4221.37,A,A,A,AAA
118,16066.0,16,5,1521.87,A,A,A,AAA
119,16904.0,4,16,3754.27,A,A,A,AAA
120,14621.0,1,6,1765.76,A,A,A,AAA
121,15134.0,14,8,1387.99,A,A,A,AAA
122,14723.0,10,6,1158.3,A,A,A,AAA
123,14031.0,7,23,14634.64,A,A,A,AAA
124,14291.0,1,12,3873.3,A,A,A,AAA
125,14903.0,21,10,2744.48,A,A,A,AAA
126,13198.0,10,8,3384.09,A,A,A,AAA
127,13576.0,10,20,6703.3,A,A,A,AAA
128,14419.0,10,6,1058.06,A,A,A,AAA
129,14794.0,2,9,1272.11,A,A,A,AAA
130,14110.0,3,13,5669.65,A,A,A,AAA
131,12753.0,3,11,21024.01,A,A,A,AAA
132,16711.0,3,5,1651.03,A,A,A,AAA
133,15214.0,1,8,1661.44,A,A,A,AAA
134,13650.0,16,7,1809.34,A,A,A,AAA
135,17348.0,14,5,1159.52,A,A,A,AAA
136,14868.0,3,9,2939.64,A,A,A,AAA
137,18097.0,7,7,2692.85,A,A,A,AAA
138,13408.0,1,81,27487.41,A,A,A,AAA
139,13230.0,4,15,2763.41,A,A,A,AAA
140,14432.0,9,6,2255.51,A,A,A,AAA
141,16379.0,4,5,2131.9,A,A,A,AAA
142,17581.0,0,31,10736.11,A,A,A,AAA
143,15628.0,4,10,2865.64,A,A,A,AAA
144,13184.0,14,12,1648.79,A,A,A,AAA
145,15150.0,17,11,5303.97,A,A,A,AAA
146,14866.0,10,13,14197.45,A,A,A,AAA
147,12955.0,1,14,4734.26,A,A,A,AAA
148,13647.0,9,5,1670.22,A,A,A,AAA
149,13694.0,3,60,62653.1,A,A,A,AAA
150,16422.0,17,75,33805.69,A,A,A,AAA
151,17173.0,5,9,3755.65,A,A,A,AAA
152,15916.0,16,10,1491.24,A,A,A,AAA
153,15570.0,7,13,4109.97,A,A,A,AAA
154,12518.0,0,5,2056.89,A,A,A,AAA
155,16143.0,3,7,2419.84,A,A,A,AAA
156,12912.0,2,5,1662.3,A,A,A,AAA
157,15021.0,8,13,1872.28,A,A,A,AAA
158,14159.0,19,14,4678.3,A,A,A,AAA
159,13880.0,21,13,3219.77,A,A,A,AAA
160,18179.0,9,6,1793.17,A,A,A,AAA
161,15804.0,0,19,3848.55,A,A,A,AAA
162,14562.0,3,22,4709.22,A,A,A,AAA
163,14709.0,15,14,4911.14,A,A,A,AAA
164,17463.0,16,6,1881.36,A,A,A,AAA
165,15601.0,11,17,6745.36,A,A,A,AAA
166,16764.0,3,18,2758.25,A,A,A,AAA
167,14583.0,5,5,1052.55,A,A,A,AAA
168,16523.0,1,28,9295.67,A,A,A,AAA
169,18161.0,10,6,1612.79,A,A,A,AAA
170,17426.0,4,7,5022.26,A,A,A,AAA
171,12381.0,4,6,1803.96,A,A,A,AAA
172,17491.0,1,11,3541.92,A,A,A,AAA
173,16115.0,9,8,1667.97,A,A,A,AAA
174,12877.0,3,12,1535.77,A,A,A,AAA
175,16949.0,3,7,1161.27,A,A,A,AAA
176,14030.0,18,8,2360.09,A,A,A,AAA
177,15392.0,4,5,1515.73,A,A,A,AAA
178,13078.0,1,43,12432.28,A,A,A,AAA
179,15640.0,4,17,12433.34,A,A,A,AAA
180,12359.0,7,6,6245.53,A,A,A,AAA
181,16463.0,21,7,1383.7,A,A,A,AAA
182,15727.0,16,7,5178.96,A,A,A,AAA
183,13050.0,9,28,5684.61,A,A,A,AAA
184,14071.0,3,9,1307.41,A,A,A,AAA
185,12936.0,17,5,1012.9,A,A,A,AAA
186,14653.0,1,7,1947.55,A,A,A,AAA
187,13282.0,18,6,1047.84,A,A,A,AAA
188,18241.0,9,18,2058.09,A,A,A,AAA
189,13098.0,1,41,28658.88,A,A,A,AAA
190,17685.0,16,7,3191.53,A,A,A,AAA
191,13860.0,1,6,1240.0,A,A,A,AAA
192,13118.0,19,7,1125.0,A,A,A,AAA
193,17133.0,15,7,4892.24,A,A,A,AAA
194,15033.0,4,11,2571.02,A,A,A,AAA
195,12684.0,7,7,2283.63,A,A,A,AAA
196,14180.0,10,31,4640.77,A,A,A,AAA
197,13969.0,7,20,8986.69,A,A,A,AAA
198,14696.0,4,9,2070.97,A,A,A,AAA
199,12757.0,15,19,4227.7,A,A,A,AAA
200,13831.0,16,6,2202.99,A,A,A,AAA
201,17920.0,4,17,4204.1,A,A,A,AAA
202,13090.0,8,18,8689.39,A,A,A,AAA
203,12971.0,3,89,10930.26,A,A,A,AAA
204,14744.0,16,9,1088.53,A,A,A,AAA
205,14390.0,10,13,4592.47,A,A,A,AAA
206,17827.0,5,5,1995.46,A,A,A,AAA
207,17682.0,10,7,2459.33,A,A,A,AAA
208,14796.0,1,27,7839.51,A,A,A,AAA
209,15187.0,1,18,4670.08,A,A,A,AAA
210,14299.0,8,18,2855.35,A,A,A,AAA
211,15712.0,9,5,1072.36,A,A,A,AAA
212,17338.0,17,10,6612.18,A,A,A,AAA
213,14116.0,19,5,1382.74,A,A,A,AAA
214,14704.0,11,9,1546.91,A,A,A,AAA
215,17410.0,16,5,1214.72,A,A,A,AAA
216,13630.0,5,11,1995.68,A,A,A,AAA
217,12906.0,11,5,2919.81,A,A,A,AAA
218,17961.0,21,39,1296.44,A,A,A,AAA
219,17490.0,0,11,1926.88,A,A,A,AAA
220,14298.0,3,45,50862.44,A,A,A,AAA
221,17068.0,12,22,4531.34,A,A,A,AAA
222,14401.0,4,14,4039.98,A,A,A,AAA
223,15024.0,9,10,1661.33,A,A,A,AAA
224,14329.0,8,14,4928.74,A,A,A,AAA
225,14766.0,8,8,2423.07,A,A,A,AAA
226,18044.0,4,11,2085.65,A,A,A,AAA
227,15152.0,9,16,4684.24,A,A,A,AAA
228,14132.0,2,12,3580.13,A,A,A,AAA
229,16722.0,17,16,4711.21,A,A,A,AAA
230,15023.0,3,12,6763.16,A,A,A,AAA
231,16145.0,8,18,3741.98,A,A,A,AAA
232,13499.0,17,7,1146.96,A,A,A,AAA
233,14047.0,8,7,1290.01,A,A,A,AAA
234,15563.0,8,7,1319.69,A,A,A,AAA
235,14667.0,10,27,9231.2,A,A,A,AAA
236,14388.0,8,10,3172.04,A,A,A,AAA
237,13013.0,1,15,4786.99,A,A,A,AAA
238,16931.0,5,21,4604.22,A,A,A,AAA
239,13362.0,3,5,3085.49,A,A,A,AAA
240,17611.0,3,19,3947.87,A,A,A,AAA
241,12674.0,11,7,1919.31,A,A,A,AAA
242,13953.0,7,7,3515.68,A,A,A,AAA
243,14235.0,10,6,3093.86,A,A,A,AAA
244,16333.0,7,22,26626.8,A,A,A,AAA
245,17735.0,2,19,13110.02,A,A,A,AAA
246,16326.0,5,15,3085.96,A,A,A,AAA
247,13394.0,1,10,2312.8,A,A,A,AAA
248,14062.0,9,12,10464.85,A,A,A,AAA
249,17135.0,16,7,1139.73,A,A,A,AAA
250,14113.0,3,8,1377.92,A,A,A,AAA
251,12709.0,3,26,9294.1,A,A,A,AAA
252,14739.0,2,8,3899.1,A,A,A,AAA
253,13571.0,12,12,2092.32,A,A,A,AAA
254,12766.0,3,7,6989.63,A,A,A,AAA
255,14659.0,8,12,2456.53,A,A,A,AAA
256,15514.0,12,13,2963.19,A,A,A,AAA
257,14607.0,15,17,11341.1,A,A,A,AAA
258,17071.0,8,14,2385.48,A,A,A,AAA
259,15172.0,8,5,1624.05,A,A,A,AAA
260,16525.0,2,29,11895.57,A,A,A,AAA
261,16782.0,10,19,2242.25,A,A,A,AAA
262,17651.0,11,14,3886.67,A,A,A,AAA
263,15993.0,8,10,2756.82,A,A,A,AAA
264,14289.0,8,6,911.26,A,A,A,AAA
265,16549.0,10,10,4154.64,A,A,A,AAA
266,13755.0,3,10,2154.68,A,A,A,AAA
267,14730.0,1,8,2005.06,A,A,A,AAA
268,13870.0,2,10,2751.25,A,A,A,AAA
269,13319.0,5,36,10664.34,A,A,A,AAA
270,17677.0,1,43,16219.22,A,A,A,AAA
271,14096.0,4,34,57120.91,A,A,A,AAA
272,15117.0,14,6,1550.13,A,A,A,AAA
273,12464.0,10,8,1212.05,A,A,A,AAA
274,14907.0,3,10,3478.85,A,A,A,AAA
275,17629.0,5,9,1784.12,A,A,A,AAA
276,15105.0,18,7,2298.93,A,A,A,AAA
277,14732.0,8,10,2686.34,A,A,A,AAA
278,16873.0,4,10,7066.31,A,A,A,AAA
279,13588.0,15,13,2445.12,A,A,A,AAA
280,13113.0,0,40,10510.0,A,A,A,AAA
281,14428.0,7,7,1230.14,A,A,A,AAA
282,17758.0,19,8,3456.7,A,A,A,AAA
283,14441.0,0,10,1545.14,A,A,A,AAA
284,17243.0,1,30,8628.55,A,A,A,AAA
285,15687.0,8,11,2981.5,A,A,A,AAA
286,16672.0,2,23,8093.59,A,A,A,AAA
287,17567.0,7,10,4012.56,A,A,A,AAA
288,12683.0,4,20,8221.09,A,A,A,AAA
289,12494.0,9,13,1139.35,A,A,A,AAA
290,12423.0,0,9,1849.11,A,A,A,AAA
291,13069.0,0,27,3717.82,A,A,A,AAA
292,16719.0,14,8,1773.92,A,A,A,AAA
293,12490.0,5,10,5417.93,A,A,A,AAA
294,14834.0,17,8,1698.35,A,A,A,AAA
295,13418.0,11,23,5845.44,A,A,A,AAA
296,18102.0,0,62,256438.49,A,A,A,AAA
297,14527.0,2,86,7711.38,A,A,A,AAA
298,16210.0,1,18,21086.3,A,A,A,AAA
299,13267.0,2,27,4404.44,A,A,A,AAA
300,12697.0,21,5,939.02,A,A,A,AAA
301,13199.0,3,39,9803.96,A,A,A,AAA
302,14769.0,2,10,10641.6,A,A,A,AAA
303,12451.0,10,6,8933.52,A,A,A,AAA
304,15547.0,7,14,4954.84,A,A,A,AAA
305,16327.0,14,6,3844.22,A,A,A,AAA
306,12951.0,8,8,1042.07,A,A,A,AAA
307,18061.0,21,10,2119.41,A,A,A,AAA
308,14503.0,3,6,3543.26,A,A,A,AAA
309,13510.0,1,5,1785.16,A,A,A,AAA
310,18055.0,7,11,6752.14,A,A,A,AAA
311,17096.0,9,7,992.68,A,A,A,AAA
312,13704.0,5,10,2295.31,A,A,A,AAA
313,17350.0,8,5,1256.19,A,A,A,AAA
314,15443.0,1,8,3212.16,A,A,A,AAA
315,16775.0,10,11,1695.66,A,A,A,AAA
316,17042.0,2,5,1044.38,A,A,A,AAA
317,14156.0,9,66,113384.14,A,A,A,AAA
318,15632.0,15,10,3147.31,A,A,A,AAA
319,16744.0,11,7,1304.76,A,A,A,AAA
320,18225.0,3,17,5361.02,A,A,A,AAA
321,14408.0,10,7,2606.53,A,A,A,AAA
322,13784.0,9,11,2462.79,A,A,A,AAA
323,15594.0,15,6,1767.53,A,A,A,AAA
324,14702.0,1,18,3250.64,A,A,A,AAA
325,17813.0,14,7,1714.6,A,A,A,AAA
326,16426.0,2,10,1908.25,A,A,A,AAA
327,12569.0,2,35,4064.99,A,A,A,AAA
328,17706.0,4,22,10097.37,A,A,A,AAA
329,15144.0,8,18,6530.04,A,A,A,AAA
330,17091.0,2,10,3802.81,A,A,A,AAA
331,15511.0,11,5,909.23,A,A,A,AAA
332,14315.0,21,7,2456.98,A,A,A,AAA
333,14755.0,9,12,4965.38,A,A,A,AAA
334,16360.0,4,8,3411.69,A,A,A,AAA
335,12727.0,10,9,3947.7,A,A,A,AAA
336,13881.0,3,22,16989.52,A,A,A,AAA
337,17090.0,4,8,2041.85,A,A,A,AAA
338,17728.0,3,5,2515.68,A,A,A,AAA
339,12747.0,2,11,4196.01,A,A,A,AAA
340,15755.0,1,8,2318.88,A,A,A,AAA
341,14415.0,1,18,5811.56,A,A,A,AAA
342,17231.0,12,14,3127.82,A,A,A,AAA
343,14673.0,3,5,1736.4,A,A,A,AAA
344,13468.0,1,41,5656.75,A,A,A,AAA
345,12705.0,15,14,6814.24,A,A,A,AAA
346,16633.0,17,7,2878.15,A,A,A,AAA
347,14209.0,10,7,2067.13,A,A,A,AAA
348,16242.0,8,8,3598.26,A,A,A,AAA
349,17346.0,3,16,2611.58,A,A,A,AAA
350,14711.0,10,12,2838.2,A,A,A,AAA
351,12656.0,17,8,3982.72,A,A,A,AAA
352,15465.0,19,24,6945.02,A,A,A,AAA
353,16910.0,4,8,1510.06,A,A,A,AAA
354,14515.0,17,6,2102.09,A,A,A,AAA
355,17001.0,0,11,3989.57,A,A,A,AAA
356,14129.0,1,5,1123.86,A,A,A,AAA
357,17017.0,2,27,8574.11,A,A,A,AAA
358,16992.0,10,6,1601.86,A,A,A,AAA
359,16710.0,19,10,2483.04,A,A,A,AAA
360,13410.0,8,7,988.91,A,A,A,AAA
361,16987.0,3,7,1625.05,A,A,A,AAA
362,15845.0,17,10,3650.87,A,A,A,AAA
363,17828.0,8,9,1599.97,A,A,A,AAA
364,12540.0,19,19,13309.04,A,A,A,AAA
365,14901.0,11,10,1414.99,A,A,A,AAA
366,12714.0,9,5,4708.86,A,A,A,AAA
367,14083.0,4,9,1018.43,A,A,A,AAA
368,13309.0,7,5,1456.79,A,A,A,AAA
369,16571.0,3,5,1285.22,A,A,A,AAA
370,17857.0,3,25,26763.34,A,A,A,AAA
371,17131.0,5,5,2463.17,A,A,A,AAA
372,12748.0,0,224,29072.1,A,A,A,AAA
373,13769.0,2,16,2771.87,A,A,A,AAA
374,13263.0,1,35,7454.07,A,A,A,AAA
375,12584.0,3,18,1893.95,A,A,A,AAA
376,14194.0,4,32,11216.75,A,A,A,AAA
377,16592.0,4,19,4073.28,A,A,A,AAA
378,14099.0,16,12,3092.97,A,A,A,AAA
379,12720.0,2,29,5713.28,A,A,A,AAA
380,14931.0,4,6,964.68,A,A,A,AAA
381,17288.0,9,7,1419.73,A,A,A,AAA
382,15453.0,1,7,1388.37,A,A,A,AAA
383,17511.0,2,46,88125.38,A,A,A,AAA
384,12839.0,2,16,5583.62,A,A,A,AAA
385,14189.0,2,24,4604.31,A,A,A,AAA
386,14482.0,18,6,2068.15,A,A,A,AAA
387,14032.0,2,18,2929.84,A,A,A,AAA
388,16161.0,1,26,5352.97,A,A,A,AAA
389,18065.0,5,15,2380.08,A,A,A,AAA
390,12664.0,8,10,4863.88,A,A,A,AAA
391,14626.0,8,7,2757.07,A,A,A,AAA
392,14447.0,18,5,1163.23,A,A,A,AAA
393,16440.0,7,5,3640.67,A,A,A,AAA
394,16393.0,2,20,2941.05,A,A,A,AAA
395,15044.0,19,22,7629.38,A,A,A,AAA
396,12388.0,15,6,2780.66,A,A,A,AAA
397,15373.0,8,13,2213.11,A,A,A,AAA
398,17676.0,4,7,1383.27,A,A,A,AAA
399,15290.0,4,21,7803.77,A,A,A,AAA
400,14191.0,1,14,4660.01,A,A,A,AAA
401,18198.0,4,21,5083.06,A,A,A,AAA
402,16358.0,1,5,2024.95,A,A,A,AAA
403,16350.0,21,5,1100.47,A,A,A,AAA
404,17528.0,1,11,3540.1,A,A,A,AAA
405,16712.0,9,11,3645.43,A,A,A,AAA
406,13777.0,0,41,25748.35,A,A,A,AAA
407,13137.0,10,9,3605.08,A,A,A,AAA
408,17386.0,7,6,2686.42,A,A,A,AAA
409,14572.0,3,10,2803.69,A,A,A,AAA
410,15694.0,0,15,6423.6,A,A,A,AAA
411,16790.0,3,8,1520.12,A,A,A,AAA
412,18230.0,9,10,2716.6,A,A,A,AAA
413,17315.0,0,43,6204.46,A,A,A,AAA
414,16401.0,1,20,4061.24,A,A,A,AAA
415,13999.0,10,15,3865.26,A,A,A,AAA
416,18172.0,14,25,7490.17,A,A,A,AAA
417,16255.0,16,10,2609.3,A,A,A,AAA
418,13437.0,14,7,3408.06,A,A,A,AAA
419,14963.0,9,5,1487.8,A,A,A,AAA
420,15132.0,18,5,977.93,A,A,A,AAA
421,14587.0,18,10,1598.24,A,A,A,AAA
422,17364.0,0,12,4455.73,A,A,A,AAA
423,17188.0,11,9,2275.58,A,A,A,AAA
424,14506.0,17,5,2012.17,A,A,A,AAA
425,14511.0,11,6,1267.41,A,A,A,AAA
426,12826.0,2,8,1468.12,A,A,A,AAA
427,13021.0,4,12,2584.4,A,A,A,AAA
428,15034.0,15,11,4277.66,A,A,A,AAA
429,15179.0,18,7,2186.2,A,A,A,AAA
430,14825.0,3,12,2226.91,A,A,A,AAA
431,14215.0,11,7,1777.92,A,A,A,AAA
432,16678.0,2,17,3013.83,A,A,A,AAA
433,13536.0,1,7,3448.29,A,A,A,AAA
434,15858.0,15,5,1438.85,A,A,A,AAA
435,12913.0,4,5,2483.63,A,A,A,AAA
436,16128.0,17,5,1880.22,A,A,A,AAA
437,16609.0,15,9,5450.96,A,A,A,AAA
438,14005.0,9,5,2874.72,A,A,A,AAA
439,16979.0,3,8,1809.05,A,A,A,AAA
440,14442.0,1,5,1544.62,A,A,A,AAA
441,14049.0,16,6,5639.15,A,A,A,AAA
442,13102.0,1,27,6336.29,A,A,A,AAA
443,13115.0,8,14,2205.63,A,A,A,AAA
444,13988.0,19,9,4098.8,A,A,A,AAA
445,17293.0,8,9,1875.11,A,A,A,AAA
446,15078.0,7,38,9623.35,A,A,A,AAA
447,12662.0,0,12,3817.08,A,A,A,AAA
448,17381.0,8,30,20272.43,A,A,A,AAA
449,12749.0,3,8,3868.2,A,A,A,AAA
450,14849.0,21,28,7904.28,A,A,A,AAA
451,17700.0,16,6,2508.89,A,A,A,AAA
452,12921.0,3,50,16389.74,A,A,A,AAA
453,13895.0,21,5,2588.12,A,A,A,AAA
454,15838.0,11,21,33350.76,A,A,A,AAA
455,17519.0,17,7,1839.07,A,A,A,AAA
456,15157.0,3,5,1869.5,A,A,A,AAA
457,14321.0,10,5,1530.75,A,A,A,AAA
458,15984.0,2,11,2816.97,A,A,A,AAA
459,15106.0,17,7,1407.73,A,A,A,AAA
460,18237.0,2,5,987.1,A,A,A,AAA
461,12989.0,3,19,6854.51,A,A,A,AAA
462,12779.0,21,12,3868.7,A,A,A,AAA
463,15621.0,4,6,1158.77,A,A,A,AAA
464,12362.0,3,13,5154.58,A,A,A,AAA
465,17236.0,12,6,916.13,A,A,A,AAA
466,14546.0,4,9,2487.02,A,A,A,AAA
467,12417.0,3,12,3578.8,A,A,A,AAA
468,17769.0,12,12,3960.63,A,A,A,AAA
469,15814.0,3,6,1842.73,A,A,A,AAA
470,15484.0,1,5,3563.11,A,A,A,AAA
471,15482.0,15,16,6568.72,A,A,A,AAA
472,15382.0,14,8,5927.86,A,A,A,AAA
473,12627.0,10,7,4478.53,A,A,A,AAA
474,14719.0,1,6,1592.18,A,A,A,AAA
475,14178.0,8,7,1620.93,A,A,A,AAA
476,16240.0,8,5,3693.81,A,A,A,AAA
477,13798.0,1,63,36351.42,A,A,A,AAA
478,15502.0,15,23,5541.46,A,A,A,AAA
479,16929.0,3,7,1295.39,A,A,A,AAA
480,12919.0,8,8,1301.44,A,A,A,AAA
481,13426.0,0,12,3550.7,A,A,A,AAA
482,17861.0,3,9,2059.2,A,A,A,AAA
483,13985.0,4,16,7024.53,A,A,A,AAA
484,13854.0,8,29,8025.02,A,A,A,AAA
485,12670.0,10,6,2986.15,A,A,A,AAA
486,18223.0,1,27,6315.23,A,A,A,AAA
487,16107.0,17,7,3204.16,A,A,A,AAA
488,15136.0,2,5,1282.45,A,A,A,AAA
489,14911.0,1,248,132572.62,A,A,A,AAA
490,16558.0,0,24,8257.04,A,A,A,AAA
491,18118.0,10,31,5595.77,A,A,A,AAA
492,12935.0,2,8,2156.45,A,A,A,AAA
493,12598.0,9,9,3002.68,A,A,A,AAA
494,16700.0,8,17,5040.0,A,A,A,AAA
495,18229.0,11,20,7276.9,A,A,A,AAA
496,17419.0,11,14,4200.97,A,A,A,AAA
497,17754.0,0,6,1739.92,A,A,A,AAA
498,16839.0,8,39,15357.78,A,A,A,AAA
499,16191.0,2,25,4913.32,A,A,A,AAA
500,17602.0,2,8,5050.77,A,A,A,AAA
501,14895.0,7,24,11020.26,A,A,A,AAA
502,17975.0,15,14,4393.61,A,A,A,AAA
503,17809.0,16,15,4627.62,A,A,A,AAA
504,18122.0,8,6,1826.21,A,A,A,AAA
505,16458.0,2,18,3482.74,A,A,A,AAA
506,15854.0,4,12,2974.65,A,A,A,AAA
507,14135.0,1,15,4690.31,A,A,A,AAA
508,16076.0,3,11,2173.53,A,A,A,AAA
509,13232.0,12,7,1357.6,A,A,A,AAA
510,17744.0,3,7,2291.08,A,A,A,AAA
511,14422.0,0,6,4263.64,A,A,A,AAA
512,13658.0,9,7,2421.47,A,A,A,AAA
513,12704.0,7,10,2220.84,A,A,A,AAA
514,14505.0,17,11,5818.7,A,A,A,AAA
515,13014.0,2,16,3365.43,A,A,A,AAA
516,15811.0,17,9,2171.32,A,A,A,AAA
517,13126.0,4,10,2056.29,A,A,A,AAA
518,15796.0,1,10,2666.61,A,A,A,AAA
519,14251.0,1,5,2879.7,A,A,A,AAA
520,16938.0,8,5,1903.13,A,A,A,AAA
521,17097.0,2,9,937.92,A,A,A,AAA
522,13117.0,21,8,984.91,A,A,A,AAA
523,12619.0,16,13,3214.81,A,A,A,AAA
524,16057.0,4,10,2140.22,A,A,A,AAA
525,13756.0,2,15,5145.12,A,A,A,AAA
526,17389.0,0,43,31300.08,A,A,A,AAA
527,16794.0,1,12,1201.51,A,A,A,AAA
528,17449.0,2,8,2504.86,A,A,A,AAA
529,15903.0,9,8,5126.34,A,A,A,AAA
530,16359.0,7,12,1460.37,A,A,A,AAA
531,16133.0,3,46,14305.66,A,A,A,AAA
532,17049.0,2,11,5594.78,A,A,A,AAA
533,17451.0,1,10,1648.95,A,A,A,AAA
534,13994.0,3,6,2313.14,A,A,A,AAA
